Genus,Typical_Substrate
Alternaria,Fluorene
Arthrographis,Fluoroanthrene
Aspergillus,Diesel
Aureobasidium,Boyer
Beauveria,Diesel
Bipolaris,Anthracene
Botrytis,Crude
Cenococcum,Fries
Cephalosporium,Crude
Chaetomium,Anthracene
Cicinobolus,Anthracene
Cladophialophora,Toluene
Cladosporium,Diesel
Claviceps,Naphthalene
Cochliobolus,Crude
Colletotrichum,Anthracene
Coniothyrium,Pyrene
Cryphonectria,Anthracene
Cyclothyrium,Pyrene
Cylindrocarpon,Crude
Dichotomomyces,Scott
Doratomyces,Coal
Drechslera,Anthracene
Embellisia,Anthracene
Emericella,Crude
Emericellopsis,Naphthalene
Epicoccum,Naphthalene
Eupenicillium,Crude
Exophiala,Toluene
Fusarium,Diesel
Gliocladium,Pyrene
Graphium,Crude
Keratinomyces,Alkanes
Microsporon,Alkanes
Monilia,Crude
Morchella,Anthracene
Genus,Referencea
Myceliophthora,Anthracene
Neosartorya,Cain
Neurospora,Dodge
Paecilomyces,Biphenyl
Penicillium,Pyrene
Pestalotia,1841
Phialophora,Pyrene
Pithomyces.,Broom
Pseudallescheria,Fischer
Rhinocladiella,Diesel
Scedosporium,Castellani
Chalmers,al.
Alkanes,Pyrene
Scopulariopsis,Fluorene
Seimatosporium,G.
Sordaria,1842
Sphaeropsis,Perkins
Sporothrix,Crude
Talaromyces,Diesel
Trichoderma,Anthracene
Ulocladium,Crude
Verticillium,Fluorene
Westerdykella,Crude
Subphylum,Kreger-van
Candida,Crude
Debaryomyces,Sydow
Geotrichum,Walt
Hansenula,Phenanthrene
Kluyveromyces,Hansen
Pichia,Crude
Saccharomyces,Walt
Saccharomycopsis,Diesel
Yarrowia,Alkanes
Other,Crude
Acremonium,Marchal
Allescheria,Nees
Amorphotheca,Crude
Botryotrichum,Referencea
Gonytrichum,de
Helminthosporium,Crude
Genus,&
Hormoconis,1977
Humicola,1923
Hyphozyma,Crude
Leptodontium,Alkanes
Memnoniella,Crude
Oidiodendron,Toluene
Oospora,Alkanes
Phoma,Alkanes
Pseudeurotium,Crude
Pullularia,Everhart
Sepedonium,Coal
Spicaria,Crude
Sporormiella,Phenanthrene
Stachybotrys,Pyrene
Torulopsis,Benzo[a]pyrene
Trichocladium,Crude
Phylum,Benzo[a]pyrene
Subphylum,Benzo[a]pyrene
Agaricus,Chrysene
Agrocybe,1963
Allescheriella,1815
Amanita,Anthracene
Bjerkandera,Pyrene
Boletus,Pyrene
Ceriporiopsis,Anthracene
Coniophora,Benz[a]anthracene
Coprinus,1888
Coriolopsis,Benz[a]anthracene
Crinipellis,Benz[a]anthracene
Cryptococcus,Lignite
Daedalea,Phenanthrene
Daedaleopsis,Phenantherene
Dichomitus,Lignite
Ganoderma,Phenanthrene
Gymnopilus,Referencea
Gyrodon,Smith
Hebeloma,Broom
Hypholoma,Phenanthrene
Irpex,Phenanthrene
Genus,Benzo[a]pyrene
Kuehneromyces,Phenanthrene
Laccaria,Anthracene
Lactarius,Benzo[a]pyrene
Laetiporus,LeClair
Leccinum,Pyrene
Lentinus,et
Lenzites,1872
Marasmiellus,Phenanthrene
Minimedusa,Benzo[a]pyrene
Nematoloma,Phenanthrene
Oxysporus,Schwein
Panaeolus,Pyrene
Paxillus,Adanson
Phanerochaete,Pyrene
Phlebia,Benz[a]anthracene
Pisolithus,Bonorden
Pleurotus,1805
Polyporus,Anthracene
Psilocybe,Crude
Pycnoporus,Persoon
Ramaria,1872
Rhizoctonia,Benzo[a]pyrene
Rigidoporus,Pyrene
Sporotrichum,Alkanes
Stereum,Dibenzothiophene
Stropharia,Crude
Suillus,Niel
Trametes,1878
Trichosporon,Naphthalene
Subphylum,Naphthalene
Rhodosporidium,Le
Rhodotorula,Naphthalene
Sporobolomyces,Referencea
Basal,Naphthalene
Absidia,Naphthalene
Basidiobolus,Biphenyl
Choanephora,Naphthalene
Circinella,Fennell
Cokeromyces,Benzo[a]pyrene
Genus,Pyrene
Conidiobolus,1892
Cunninghamella,Naphthalene
Gilbertella,Costantin
Helicostylum,Naphthalene
Linderina,Naphthalene
Mortierella,Naphthalene
Mucor,1886
Phlyctochytrium,Naphthalene
Phycomyces,Barnett
Rhizomucor,Naphthalene
Rhizophlyctis,
Rhizopus,
Smittium,
Syncephalastrum,
Thamnidium,
Umbelopsis,
Zygorhynchus,